Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2016-07-19,2016,7,19,Tuesday,29,2016-29,77.78,78.09,77.36,77.83,1495200,57.57,0.00012835576268011017,57.534285714285716,54.61019999999999
2016-07-20,2016,7,20,Wednesday,29,2016-29,77.72,77.99,77.23,77.3,1408500,57.18,-0.0068094693591105315,57.58142857142857,54.7066
2016-07-21,2016,7,21,Thursday,29,2016-29,76.95,77.66,76.72,77.6,1618600,57.4,0.0038807121959445467,57.56357142857143,54.8068
2016-07-22,2016,7,22,Friday,29,2016-29,77.61,78.6,77.49,78.51,1580500,58.08,0.01172698084103585,57.597857142857144,54.9176
2016-07-25,2016,7,25,Monday,30,2016-30,78.26,78.62,77.99,78.61,1694100,58.15,0.001273853220108423,57.60642857142857,55.0216
2016-07-26,2016,7,26,Tuesday,30,2016-30,78.54,78.62,77.3,77.53,2102000,57.35,-0.013738983583647113,57.53285714285715,55.11240000000001
2016-07-27,2016,7,27,Wednesday,30,2016-30,77.48,77.48,76.1,76.52,2878000,56.61,-0.013027191224526335,57.48285714285715,55.18639999999999
2016-07-28,2016,7,28,Thursday,30,2016-30,76.52,77.17,76.25,76.94,2360800,56.92,0.005488729491141875,57.417142857142856,55.2834
2016-07-29,2016,7,29,Friday,30,2016-30,76.79,78.22,76.78,78.02,3357600,57.72,0.014037128280372846,57.410714285714285,55.418
2016-08-01,2016,8,1,Monday,31,2016-31,77.73,78.08,77.45,77.58,1771400,57.39,-0.005639586999147461,57.42,55.5272
2016-08-02,2016,8,2,Tuesday,31,2016-31,77.32,77.58,76.63,77.37,2628300,57.23,-0.0027067342119412308,57.39857142857143,55.631800000000005
2016-08-03,2016,8,3,Wednesday,31,2016-31,77.57,77.93,76.39,76.75,2761900,56.78,-0.008013672444654674,57.378571428571426,55.739799999999995
2016-08-04,2016,8,4,Thursday,31,2016-31,76.75,77.33,76.31,76.42,2221600,56.53,-0.004299428341987488,57.32,55.833400000000005
2016-08-05,2016,8,5,Friday,31,2016-31,76.3,76.3,75.24,75.37,2437400,55.75,-0.01373997731619614,57.19,55.909
2016-08-08,2016,8,8,Monday,32,2016-32,75.07,75.65,74.62,74.99,2588700,55.47,-0.005042089480633449,57.04,55.96979999999999
2016-08-09,2016,8,9,Tuesday,32,2016-32,74.69,75.01,74.1,74.73,7438500,55.28,-0.0034669062290435537,56.90428571428571,56.026199999999996
2016-08-10,2016,8,10,Wednesday,32,2016-32,75.01,75.36,74.72,75.01,5318400,55.49,0.003746776765885196,56.767857142857146,56.077400000000004
2016-08-11,2016,8,11,Thursday,32,2016-32,75.09,75.56,74.88,75.4,3495100,55.78,0.005199521818886721,56.60357142857142,56.1324
2016-08-12,2016,8,12,Friday,32,2016-32,75.78,76.64,75.51,75.96,3452700,56.19,0.007426828213220382,56.46357142857143,56.1986
2016-08-15,2016,8,15,Monday,33,2016-33,75.81,76.33,74.98,75.0,1978700,55.48,-0.0126382731178315,56.33,56.2286
